areaname, bookid, 开发企业名称, 开发资质证书号, 备注, 项目名称, 项目坐落, 预售房屋建筑面积, 土地使用权证号及用途, 住宅, 预售房屋栋号及层数, 商业用房, 发证时各栋已建层数, 办公用房统计, 预售房屋占用土地是否抵押, 其它, 预售款专用账户, 发证机关查询、投诉电话, 发证机关（盖章）, 有效期, 发证日期
广东省江门市商品房预售许可证, 编号:2018065, 开平富琳第二纺织制衣有限公司, 粤（开）房开证字第1230078号, , 开平潭江首府一期, , 531.36平方米2套, 粤(2018)开平市不动产权第0035089号；城镇住宅用地（兼容商服用地）, 531.36平方米2套, , 0平方米0套, 恩平市恩城街道和谐街四巷1号半岛雅居:0层，骏凯豪庭御海11座:0层，开平市水口镇潭江大道18号潭江首府1区20幢:0层，台城沙岗湖路东方华成苑8座1梯:20层，台城沙岗湖路东方华成苑8座2梯:20层, 0平方米0套, 否, 0平方米0套, 中国银行股份有限公司江门开平支行(700370765351), 0750-3880723, 开平市住房和城乡建设局, 自至(过期无效), 
广东省江门市商品房预售许可证, 编号:2018065, 开平富琳第二纺织制衣有限公司, 粤（开）房开证字第1230078号, , 开平潭江首府一期, , 531.36平方米2套, 粤(2018)开平市不动产权第0035089号；城镇住宅用地（兼容商服用地）, 531.36平方米2套, , 0平方米0套, 恩平市恩城街道和谐街四巷1号半岛雅居:0层，骏凯豪庭御海11座:0层，开平市水口镇潭江大道18号潭江首府1区20幢:0层，台城沙岗湖路东方华成苑8座1梯:20层，台城沙岗湖路东方华成苑8座2梯:20层, 0平方米0套, 否, 0平方米0套, 中国银行股份有限公司江门开平支行(700370765351), 0750-3880723, 开平市住房和城乡建设局, 自至(过期无效), 
广东省江门市商品房预售许可证, 编号:2019039, 开平市鸿景房地产开发有限公司, 粤（开）房开证字第1230069号, , 开平市鸿景·天悦住宅小区项目, , 8215.54平方米81套, 粤(2017)开平市不动产权第0007618号；城镇住宅用地, 7558.72平方米64套, , 656.82平方米17套, 开平市长沙街道办事处科技路8号鸿景天悦花园1幢:0层，开平市长沙街道办事处科技路8号鸿景天悦花园2幢:0层，台城陈宜禧路南265号保利公馆21号楼:0层, 0平方米0套, 否, 0平方米0套, 开平市农村信用合作联社(80020000013603563), 0750-3880723, 开平市住房和城乡建设局, 自2019年09月02日至2020年09月02日(过期无效), 2019年06月05日
广东省江门市商品房预售许可证, 编号:2019039, 开平市鸿景房地产开发有限公司, 粤（开）房开证字第1230069号, , 开平市鸿景·天悦住宅小区项目, , 8215.54平方米81套, 粤(2017)开平市不动产权第0007618号；城镇住宅用地, 7558.72平方米64套, , 656.82平方米17套, 开平市长沙街道办事处科技路8号鸿景天悦花园1幢:0层，开平市长沙街道办事处科技路8号鸿景天悦花园2幢:0层，台城陈宜禧路南265号保利公馆21号楼:0层, 0平方米0套, 否, 0平方米0套, 开平市农村信用合作联社(80020000013603563), 0750-3880723, 开平市住房和城乡建设局, 自2019年09月02日至2020年09月02日(过期无效), 2019年06月05日
广东省江门市商品房预售许可证, 编号:2019037, 开平市新佳业房地产发展有限公司, 粤（开）房开证字第1230087号, , 粤富商业广场, , 8870平方米75套, 粤(2018)开平市不动产权第0040319号；城镇住宅用地, 8870平方米75套, , 0平方米0套, 开平市水口镇民福路202号5幢:0层，台城陈宜禧路南东方名成A区13座3梯:0层, 0平方米0套, 否, 0平方米0套, 中国建设银行股份有限公司开平支行(44050167090500000491), 0750-3880723, 开平市住房和城乡建设局, 自至(过期无效), 
广东省江门市商品房预售许可证, 编号:2019037, 开平市新佳业房地产发展有限公司, 粤（开）房开证字第1230087号, , 粤富商业广场, , 8870平方米75套, 粤(2018)开平市不动产权第0040319号；城镇住宅用地, 8870平方米75套, , 0平方米0套, 开平市水口镇民福路202号5幢:0层，台城陈宜禧路南东方名成A区13座3梯:0层, 0平方米0套, 否, 0平方米0套, 中国建设银行股份有限公司开平支行(44050167090500000491), 0750-3880723, 开平市住房和城乡建设局, 自至(过期无效), 
广东省江门市商品房预售许可证, 编号:2019037, 开平市新佳业房地产发展有限公司, 粤（开）房开证字第1230087号, , 粤富商业广场, , 8870平方米75套, 粤(2018)开平市不动产权第0040319号；城镇住宅用地, 8870平方米75套, , 0平方米0套, 开平市水口镇民福路202号5幢:0层，台城陈宜禧路南东方名成A区13座3梯:0层, 0平方米0套, 否, 0平方米0套, 中国建设银行股份有限公司开平支行(44050167090500000491), 0750-3880723, 开平市住房和城乡建设局, 自至(过期无效), 
广东省江门市商品房预售许可证, 编号:2019031, 开平中源纺织染整三厂有限公司, 粤（开）房开证字第1230073号, , 南环中路2号之4地块住宅小区, , 18783.99平方米177套, 粤(2018)开平市不动产权第0034933号；城镇住宅用地、商服用地, 18783.99平方米177套, , 0平方米0套, 21座:0层，开平市三埠街道南环中路2号壹号银海1幢:0层，开平市三埠街道南环中路2号壹号银海2幢:0层，台城桥湖路289号之五德富楼2号楼:0层, 0平方米0套, 否, 0平方米0套, 中国工商银行股份有限公司开平支行(2012008419024200117), 0750-3880723, 开平市住房和城乡建设局, 自至(过期无效), 
广东省江门市商品房预售许可证, 编号:2019033, 开平恒威房地产开发有限公司, 粤（开）房开证字第1231074号, , 住宅楼A幢、B幢, , 24490.56平方米194套, 粤(2017)开平市不动产权第0026005号；, 20436.78平方米168套, , 910.81平方米3套, 开平市水口镇石龙东路18号绿苑山庄7区17幢:0层，台城陈宜禧路南东方名成A区13座2梯:0层, 0平方米0套, 否, 3142.97平方米23套, 中国建设银行股份有限公司开平支行(44050167994500000247), 0750-3880723, 开平市住房和城乡建设局, 自至(过期无效), 
广东省江门市商品房预售许可证, 编号:2019031, 开平中源纺织染整三厂有限公司, 粤（开）房开证字第1230073号, , 南环中路2号之4地块住宅小区, , 18783.99平方米177套, 粤(2018)开平市不动产权第0034933号；城镇住宅用地、商服用地, 18783.99平方米177套, , 0平方米0套, 21座:0层，开平市三埠街道南环中路2号壹号银海1幢:0层，开平市三埠街道南环中路2号壹号银海2幢:0层，台城桥湖路289号之五德富楼2号楼:0层, 0平方米0套, 否, 0平方米0套, 中国工商银行股份有限公司开平支行(2012008419024200117), 0750-3880723, 开平市住房和城乡建设局, 自至(过期无效), 
