areaname, bookid, 开发企业名称, 开发资质证书号, 备注, 项目名称, 项目坐落, 预售房屋建筑面积, 土地使用权证号及用途, 住宅, 预售房屋栋号及层数, 商业用房, 发证时各栋已建层数, 办公用房统计, 预售房屋占用土地是否抵押, 其它, 预售款专用账户, 发证机关查询、投诉电话, 发证机关（盖章）, 有效期, 发证日期
广东省江门市商品房预售许可证, 编号:新会预许字第2019081号, 江门市新会区新隆置业发展有限公司, 粤（江）房开证字第1210122号, , 海悦天铸华苑, 江门市新会区会城文华路10号海悦天铸华苑4座, 3664.68平方米25套, 粤（2018）江门市不动产权第2060824号；城镇住宅用地, 3664.68平方米25套, , 0平方米0套, 海悦天铸华苑4座:18层, 0平方米0套, 否, 0平方米0套, 广东华兴银行股份有限公司江门新会支行(808880100008865), 0750-6607610, 江门市新会区住房和城乡建设局, 自2019年10月24日至2020年10月24日(过期无效), 2019年10月24日
广东省江门市商品房预售许可证, 编号:新会预许字第2019080号, 江门市永信实业发展有限公司, 粤（江）房开证字第1211160号, , 新城华府, 沙堆大道南2号, 5367.63平方米60套, 粤（2016）江门市不动产权第2000474号；城镇住宅用地, 5367.63平方米60套, , 0平方米0套, 新城华府第3座:10层, 0平方米0套, 否, 0平方米0套, 江门农村商业银行股份有限公司沙堆支行(80020000014032802), 0750-6607610, 江门市新会区住房和城乡建设局, 自2019年10月21日至2020年10月21日(过期无效), 2019年10月21日
广东省江门市商品房预售许可证, 编号:新会预许字第2019079号, 江门市名门房地产开发有限公司, 粤（江）房开证字第1211163号, , 新熙花园, 江门市新会区会城大道29号, 7222.79平方米68套, 粤（2018）江门市不动产权第2089756号；城镇住宅用地；批发零售用地；住宿餐饮用地；商务金融用地；其他商服用地, 7222.79平方米68套, , 0平方米0套, 新熙花园7座:11层, 0平方米0套, 否, 0平方米0套, 江门农村商业银行股份有限公司会城支行(80020000013972053), 0750-6607610, 江门市新会区住房和城乡建设局, 自2019年10月16日至2020年10月16日(过期无效), 2019年10月16日
广东省江门市商品房预售许可证, 编号:新会预许字第2019078号, 江门市新会区鸿图房地产开发有限公司, 粤（江）房开证字第1210121号, , 逸峰华府, 大泽镇兴泽路1号, 1031.33平方米21套, 粤（2017）江门市不动产权第2006975号；城镇住宅用地、商服用地（05、071）, 0平方米0套, , 0平方米0套, 兴泽路1号:已封顶层, 0平方米0套, 否, 1031.33平方米21套, 中国建设银行股份有限公司江门大泽支行(44050167664600000343), 0750-6607610, 江门市新会区住房和城乡建设局, 自2019年10月12日至2020年10月12日(过期无效), 2019年10月12日
广东省江门市商品房预售许可证, 编号:新会预许字第2019077号, 江门市新会区鸿图房地产开发有限公司, 粤（江）房开证字第1210121号, , 逸峰华府, 大泽镇润泽北路4号, 1204.34平方米22套, 粤（2017）江门市不动产权第2006975号；城镇住宅用地、商服用地（05、071）, 0平方米0套, , 0平方米0套, 润泽北路4号:已封顶层, 0平方米0套, 否, 1204.34平方米22套, 中国建设银行股份有限公司江门大泽支行(44050167664600000342), 0750-6607610, 江门市新会区住房和城乡建设局, 自2019年10月12日至2020年10月12日(过期无效), 2019年10月12日
广东省江门市商品房预售许可证, 编号:新会预许字第2019076号, 江门市骏凯豪庭开发建设有限公司, 粤(江)房开证字第1211076号, , 江门新会骏凯豪庭, 江门市新会区会城银港大道65号骏凯豪庭御海18座, 14332.48平方米128套, 粤（2019）江门市不动产权第2066049号；批发零售用地，住宿餐饮用地，商务金融用地，其他商服用地，城镇住宅用地, 14332.48平方米128套, , 0平方米0套, 会城银港大道65号骏凯豪庭御海18座:22层, 0平方米0套, 否, 0平方米0套, 中国邮政储蓄银行股份有限公司江门市新会支行(944003010001719058), 0750-6607610, 江门市新会区住房和城乡建设局, 自2019年09月30日至2020年09月30日(过期无效), 2019年09月30日
广东省江门市商品房预售许可证, 编号:新会预许字第2019074号, 江门市永信实业发展有限公司, 粤（江）房开证字第1211160号, , 新城华府, 新会区沙堆镇沙堆大道南2号新城华府第2座, 5073.60平方米56套, 粤（2016）江门市不动产权第2000474号；城镇住宅用地, 5073.60平方米56套, , 0平方米0套, 新城华府第2座:10层, 0平方米0套, 否, 0平方米0套, 江门农村商业银行股份有限公司沙堆支行(80020000013926607), 0750-6607610, 江门市新会区住房和城乡建设局, 自2019年09月27日至2020年09月27日(过期无效), 2019年09月27日
广东省江门市商品房预售许可证, 编号:新会预许字第2019073号, 江门市骏凯豪庭开发建设有限公司, 粤(江)房开证字第1211076号, , 江门新会骏凯豪庭, 江门市新会区会城银港大道65号骏凯豪庭御海17座, 13742.08平方米96套, 粤（2019）江门市不动产权第2066049号；批发零售用地，住宿餐饮用地，商务金融用地，其他商服用地，城镇住宅用地, 13742.08平方米96套, , 0平方米0套, 会城银港大道65号骏凯豪庭御海17座:22层, 0平方米0套, 否, 0平方米0套, 中国银行股份有限公司江门新会支行(631472283702), 0750-6607610, 江门市新会区住房和城乡建设局, 自2019年09月27日至2020年09月27日(过期无效), 2019年09月27日
广东省江门市商品房预售许可证, 编号:新会预许字第2019072号, 江门市新会区环市房地产开发有限公司, 粤（江）房开证字第1211098号, , 尚城荟公馆, 江门市新会区会城冈州大道西10号尚城荟公馆5座, 5801.25平方米56套, 粤（2017）江门市不动产权第2000691号；城镇住宅用地、商服用地, 5801.25平方米56套, , 0平方米0套, 会城冈州大道西10号尚城荟公馆5座:15层, 0平方米0套, 否, 0平方米0套, 中国建设银行股份有限公司新会支行(44050167067100000250), 0750-6607610, 江门市新会区住房和城乡建设局, 自2019年09月27日至2020年09月27日(过期无效), 2019年09月27日
广东省江门市商品房预售许可证, 编号:新会预许字第2019071号, 江门市金牛房地产开发实业有限公司, 粤(江)房开证字第1211020号, , 江门市金牛房地产开发实业有限公司, 会城冈州大道西2号汇侨花园35座, 6740.16平方米64套, 新国用（2007）第02995号；城镇混合住宅用地, 6740.16平方米64套, , 0平方米0套, 汇侨花园35座:111层, 0平方米0套, 否, 0平方米0套, 中国工商银行股份有限公司江门新会支行　(2012004829024872018), 0750-6607610, 江门市新会区住房和城乡建设局, 自2019年09月27日至2020年09月27日(过期无效), 2019年09月27日
广东省江门市商品房预售许可证, 编号:新会预许字第2019070号, 江门市恒捷房地产有限公司, 粤（江）房开证字第1211124号, , 贝沙湾, 江门市新会区会城惠康路9号贝沙湾9座, 12289.50平方米120套, 粤（2018）江门市不动产权第2065521号；批发零售用地、住宿餐饮用地、商务金融用地、其他商服用地、城镇住宅用地, 12289.50平方米120套, , 0平方米0套, 会城惠康路9号贝沙湾9座:20层, 0平方米0套, 否, 0平方米0套, 广发银行股份有限公司新会第三支行(9550880211820500451), 0750-6607610, 江门市新会区住房和城乡建设局, 自2019年09月27日至2020年09月27日(过期无效), 2019年09月27日
广东省江门市商品房预售许可证, 编号:新会预许字第2019075号, 江门市新会区高盛装饰工程有限公司, 粤（江）房开证字第1210143号, , 碧水轩, 江门市新会区会城今华路32号碧水轩1座, 5635.86平方米60套, 粤（2017）江门市不动产权第2002061号；城镇住宅用地（071）, 5635.86平方米60套, , 0平方米0套, 会城今华路32号碧水轩1座:10层, 0平方米0套, 否, 0平方米0套, 江门农村商业银行股份有限公司北新支行(80020000013881495), 0750-6607610, 江门市新会区住房和城乡建设局, 自2019年09月27日至2020年09月27日(过期无效), 2019年09月27日
