areaname, bookid, 开发企业名称, 开发资质证书号, 备注, 项目名称, 项目坐落, 预售房屋建筑面积, 土地使用权证号及用途, 住宅, 预售房屋栋号及层数, 商业用房, 发证时各栋已建层数, 办公用房统计, 预售房屋占用土地是否抵押, 其它, 预售款专用账户, 发证机关查询、投诉电话, 发证机关（盖章）, 有效期, 发证日期
广东省江门市商品房预售许可证, 编号:江海预许字第2019045号, 江门市江海区泰安地产有限公司, 粤（江）房开证字第1201206号, , 珑山居二期工程(1幢-4幢、9幢-11幢), 江门市江海区江海三路外海七东村松仔山（江海区珑山居）, 10505.53平方米78套, 粤（2018）江门市不动产权第1024196号；城镇住宅用地, 10505.53平方米78套, , 0平方米0套, 1幢:13层，2幢:13层, 0平方米0套, 否, 0平方米0套, 中国工商银行股份有限公司江门港口支行(2012002119085829310), 0750-3880723, 江门市江海区住房和城乡建设局, 自2019年10月22日至2020年10月22日(过期无效), 2019年10月22日
广东省江门市商品房预售许可证, 编号:江海预许字第2019044号, 江门市天璟置业发展有限公司, 粤（江）房开证字第1270014号, , 江门合景领峰花园, 江门市江海区五邑路北侧周屋围地段, 11596.95平方米128套, 粤（2018）江门市不动产权第1044625号；其他商服用地；城镇住宅用地, 11596.95平方米128套, , 0平方米0套, 江门合景领峰花园2栋:23层, 0平方米0套, 否, 0平方米0套, 中国银行股份有限公司江门分行(732872358860), 0750-3880723, 江门市江海区住房和城乡建设局, 自2019年10月18日至2020年10月18日(过期无效), 2019年10月18日
广东省江门市商品房预售许可证, 编号:江海预许字第2019043号, 江门华铭房地产开发有限公司, 粤（江）房开证字第1270015号, , 华发合隽四季花园, 江门市江海区明泰三路与永康路交界西南侧地块一, 13075.20平方米128套, 粤（2019）江门市不动产权第1003863号；城镇住宅用地；其他商服用地, 13075.20平方米128套, , 0平方米0套, 华发合隽四季花园9栋:22层, 0平方米0套, 否, 0平方米0套, 兴业银行股份有限公司江门北新区支行(398040100100026636), 0750-3880723, 江门市江海区住房和城乡建设局, 自2019年10月05日至2020年10月05日(过期无效), 2019年10月05日
广东省江门市商品房预售许可证, 编号:江海预许字第2019042号, 江门市江海区乐平地产策划有限公司, 粤（江）房开证字第1271006号, , 文华豪庭（二期）, 江门市江海区礼乐新民村长围, 11321.41平方米115套, 粤（2017）江门市不动产权第1009477号；其他商服用地：城镇住宅用地, 11053.53平方米108套, , 267.88平方米7套, 江海区礼乐文华豪庭13栋、乐安街17号:19层, 0平方米0套, 否, 0平方米0套, 鹤山珠江村镇银行股份有限公司(65001269000000784), 0750-3880723, 江门市江海区住房和城乡建设局, 自2019年09月30日至2020年09月30日(过期无效), 2019年09月30日
广东省江门市商品房预售许可证, 编号:江海预许字第2019041号, 江门市江海区乐平地产策划有限公司, 粤（江）房开证字第1271006号, , 文华豪庭（二期）, 江门市江海区礼乐新民村长围, 11376.21平方米116套, 粤（2017）江门市不动产权第1009477号；其他商服用地：城镇住宅用地, 11052.72平方米108套, , 323.49平方米8套, 江海区礼乐文华豪庭14栋、乐安街15号:20层, 0平方米0套, 否, 0平方米0套, 鹤山珠江村镇银行股份有限公司(65001158000000785), 0750-3880723, 江门市江海区住房和城乡建设局, 自2019年09月30日至2020年09月30日(过期无效), 2019年09月30日
广东省江门市商品房预售许可证, 编号:江海预许字第2019040号, 江门市江海区乐平地产策划有限公司, 粤（江）房开证字第1271006号, , 文华豪庭（二期）, 江门市江海区礼乐新民村长围, 11285.45平方米127套, 粤（2017）江门市不动产权第1009477号；其他商服用地：城镇住宅用地, 10178.46平方米108套, , 1106.99平方米19套, 江海区礼乐文华豪庭12栋、礼义二路14号:19层, 0平方米0套, 否, 0平方米0套, 鹤山珠江村镇银行股份有限公司(65001370000000783), 0750-3880723, 江门市江海区住房和城乡建设局, 自2019年09月30日至2020年09月30日(过期无效), 2019年09月30日
广东省江门市商品房预售许可证, 编号:江海预许字第2019039号, 江门市江海区乐平地产策划有限公司, 粤（江）房开证字第1271006号, , 文华豪庭（二期）, 江门市江海区礼乐新民村长围, 6132.27平方米74套, 粤（2017）江门市不动产权第1009477号；其他商服用地：城镇住宅用地, 4997.02平方米56套, , 1135.25平方米18套, 江海区礼乐文华豪庭11栋、礼义二路10号:13层, 0平方米0套, 否, 0平方米0套, 鹤山珠江村镇银行股份有限公司(65001481000000782), 0750-3880723, 江门市江海区住房和城乡建设局, 自2019年09月29日至2020年09月29日(过期无效), 2019年09月29日
广东省江门市商品房预售许可证, 编号:江海预许字第2019038号, 江门市江海区乐平地产策划有限公司, 粤（江）房开证字第1271006号, , 文华豪庭（二期）, 江门市江海区礼乐新民村长围, 5012.14平方米56套, 粤（2017）江门市不动产权第1009477号；其他商服用地：城镇住宅用地, 5012.14平方米56套, , 0平方米0套, 江海区礼乐文华豪庭10栋:13层, 0平方米0套, 否, 0平方米0套, 鹤山珠江村镇银行股份有限公司(65001592000000781), 0750-3880723, 江门市江海区住房和城乡建设局, 自2019年09月29日至2020年09月29日(过期无效), 2019年09月29日
广东省江门市商品房预售许可证, 编号:江海预许字第2019037号, 江门春燕投资发展有限公司, 粤（江）房开证字第1271002号, , 富港·天荟湾, 江海区江南新村55号（地块三A1、A2）, 1651.11平方米40套, 粤（2017）江门市不动产权第1002803号；城镇住宅用地、其他商服用地, 0平方米0套, , 1651.11平方米40套, 江门市江海区富港天荟湾10号:3层, 0平方米0套, 否, 0平方米0套, 中国建设银行股份有限公司江门市分行(44050167010100001734), 0750-3880723, 江门市江海区住房和城乡建设局, 自2019年09月29日至2020年09月29日(过期无效), 2019年09月29日
广东省江门市商品房预售许可证, 编号:江海预许字第2019036号, 江门春燕投资发展有限公司, 粤（江）房开证字第1271002号, , 富港·天荟湾, 江海区江南新村55号（地块三A1、A2）, 1017.67平方米16套, 粤（2017）江门市不动产权第1002802号；城镇住宅用地、其他商服用地, 0平方米0套, , 1017.67平方米16套, 江门市江海区中沙路98号:2层, 0平方米0套, 否, 0平方米0套, 中国建设银行股份有限公司江门市分行(44050167010100001731), 0750-3880723, 江门市江海区住房和城乡建设局, 自2019年09月29日至2020年09月29日(过期无效), 2019年09月29日
