areaname, bookid, 开发企业名称, 开发资质证书号, 备注, 项目名称, 项目坐落, 预售房屋建筑面积, 土地使用权证号及用途, 住宅, 预售房屋栋号及层数, 商业用房, 发证时各栋已建层数, 办公用房统计, 预售房屋占用土地是否抵押, 其它, 预售款专用账户, 发证机关查询、投诉电话, 发证机关（盖章）, 有效期, 发证日期
广东省江门市商品房预售许可证, 编号:蓬江预许字第2019060号, 江门市蓬江区骏景湾领峰房地产有限公司, 粤（江）房开证字第1260006号, 预售栋江门市蓬江区棠下镇园山北路90号骏景湾领峰花园2栋配建房屋面积：1927.78平方米，套数：18套；房号：1601、2601、1201、1101、1301、3201、502、1102、102、2702、1502、3202、2103、1303、2503、2703、2603、1403, 江门骏景湾领峰住宅小区, 江门市蓬江区河滨新路与龙腾路交叉口东北侧, 8492.09平方米78套, 粤（2018）江门市不动产权第0010694号；城镇住宅地；其他商服用地, 8492.09平方米78套, , 0平方米0套, 江门市蓬江区棠下镇园山北路90号骏景湾领峰花园2栋:31层, 0平方米0套, 否, 0平方米0套, 江门农村商业银行股份有限公司棠下支行(80020000013998800), 0750-3167397, 江门市蓬江区住房和城乡建设局, 自2019年10月22日至2020年10月22日(过期无效), 2019年10月22日
广东省江门市商品房预售许可证, 编号:蓬江预许字第2019059号, 江门市越通房地产开发有限公司, 粤（江）房开证字第1260020号, , 天悦华庭, 江门市蓬江区西区工业路与天沙河中路交叉口西北角, 12460.14平方米124套, 粤（2019）江门市不动产权第0011061号；其他商服用地，城镇住宅用地, 12460.14平方米124套, , 0平方米0套, 江门市蓬江区西区工业路6号天悦华庭2栋:22层, 0平方米0套, 否, 0平方米0套, 中国光大银行股份有限公司江门北新支行(54220188000033587), 0750-3167397, 江门市蓬江区住房和城乡建设局, 自2019年10月18日至2020年10月18日(过期无效), 2019年10月18日
广东省江门市商品房预售许可证, 编号:蓬江预许字第2019058号, 江门市潮连经济实业投资公司, 粤（江）房开证字第1201209号, , 蓬江区潮连益丞富隆居小区, 江门市蓬江区潮连芝山管理区榄坑地段, 10906.72平方米115套, 粤（2018）江门市不动产权第0007377号；其他商服用地；城镇住宅用地, 10464.41平方米105套, , 442.31平方米10套, 江门市蓬江区益丞富隆居21幢 :14层，江门市蓬江区益丞富隆居22幢，9号 :14层, 0平方米0套, 否, 0平方米0套, 江门农村商业银行股份有限公司潮连支行(80020000007042615), 0750-3167397, 江门市蓬江区住房和城乡建设局, 自2019年10月18日至2020年10月18日(过期无效), 2019年10月18日
广东省江门市商品房预售许可证, 编号:蓬江预许字第2019057号, 江门市滨江房地产开发投资有限公司, 粤（江）房开证字第1260018号, , 滨江盛悦华府, 江门市江门大道与华盛路立交东南角，桐井河以北地段, 14086.40平方米128套, 粤（2018）江门市不动产权第0097205号；城镇住宅用地；批发零售用地, 14086.40平方米128套, , 0平方米0套, 江门市蓬江区棠下镇华盛路289号滨江盛悦华府4栋:22层, 0平方米0套, 否, 0平方米0套, 广州银行股份有限公司江门分行(817000731302058), 0750-3167397, 江门市蓬江区住房和城乡建设局, 自2019年10月12日至2020年10月12日(过期无效), 2019年10月12日
广东省江门市商品房预售许可证, 编号:蓬江预许字第2019056号, 江门市蓬江区锦富房地产开发有限公司, 粤（江）房开证字第1261031号, , 锦富汇景湾豪庭, 江门市蓬江区棠下镇石头村椅山围（土名）, 19255.01平方米176套, 粤（2017）江门市不动产权第0064670号；其他商服用地；城镇住宅用地, 19255.01平方米176套, , 0平方米0套, 锦富汇景湾豪庭21幢:22层，锦富汇景湾豪庭22幢:22层, 0平方米0套, 否, 0平方米0套, 江门农村商业银行股份有限公司东华支行(80020000013966640), 0750-3167397, 江门市蓬江区住房和城乡建设局, 自2019年09月30日至2020年09月30日(过期无效), 2019年09月30日
广东省江门市商品房预售许可证, 编号:蓬江预许字第2019055号, 江门市利嘉盈置业有限公司, 粤（江）房开证字第1200190号, , 怡福·东华名岸, 江门市蓬江区堤东路73号、竹排后街1-34号片区, 10092.89平方米78套, 粤（2017）江门市不动产权第0020184号；城镇住宅用地；其他商服用地, 10092.89平方米78套, , 0平方米0套, 江门市蓬江区东华一路1号东华名岸园1栋、堤东路74号:28层, 0平方米0套, 否, 0平方米0套, 恒生银行（中国）有限公司江门支行(731000865021), 0750-3167397, 江门市蓬江区住房和城乡建设局, 自2019年09月30日至2020年09月30日(过期无效), 2019年09月30日
广东省江门市商品房预售许可证, 编号:蓬江预许字第2019054号, 江门市蓬江区棠下碧桂园房地产开发有限公司, 粤（江）房开证字第1260003号, 预售栋江门市蓬江区棠下镇滨江碧桂园2栋配建房屋面积：2302.32平方米，套数：20套；房号：301、501、1101、2301、2801、3001、3201、302、602、2202、2302、2802、3002、603、1103、1303、1703、2503、2703、3103, 滨江碧桂园, 江门市滨江新区华盛路与龙腾路交叉口东北角, 8821.79平方米77套, 粤（2017）江门市不动产权第0059441号；城镇住宅用地；其他商服用地, 8821.79平方米77套, , 0平方米0套, 江门市蓬江区棠下镇滨江碧桂园2栋:33层, 0平方米0套, 否, 0平方米0套, 广州银行股份有限公司江门分行(817000538802110), 0750-3167397, 江门市蓬江区住房和城乡建设局, 自2019年09月29日至2020年09月29日(过期无效), 2019年09月29日
广东省江门市商品房预售许可证, 编号:蓬江预许字第2019053号, 江门市蓬江区棠下碧桂园房地产开发有限公司, 粤（江）房开证字第1260003号, 预售栋江门市蓬江区棠下镇滨江碧桂园8栋配建房屋面积：3290.02平方米，套数：12套；房号：401、501、1101、1601、2801、3001、402、702、1102、1402、1602、2602, 滨江碧桂园, 江门市滨江新区华盛路与龙腾路交叉口东北角, 12633.46平方米46套, 粤（2017）江门市不动产权第0059441号；城镇住宅用地；其他商服用地, 12633.46平方米46套, , 0平方米0套, 江门市蓬江区棠下镇滨江碧桂园8栋:30层, 0平方米0套, 否, 0平方米0套, 广州银行股份有限公司江门分行(817000538802086), 0750-3167397, 江门市蓬江区住房和城乡建设局, 自2019年09月29日至2020年09月29日(过期无效), 2019年09月29日
广东省江门市商品房预售许可证, 编号:蓬江预许字第2019052号, 江门市越通房地产开发有限公司, 粤（江）房开证字第1260020号, , 天悦华庭, 江门市蓬江区西区工业路与天沙河中路交叉口西北角, 12063.60平方米120套, 粤（2019）江门市不动产权第0011061号；其他商服用地，城镇住宅用地, 12063.60平方米120套, , 0平方米0套, 江门市蓬江区西区工业路6号天悦华庭4栋:21层, 0平方米0套, 否, 0平方米0套, 中国光大银行股份有限公司江门北新支行(54220188000029710), 0750-3167397, 江门市蓬江区住房和城乡建设局, 自2019年09月27日至2020年09月27日(过期无效), 2019年09月27日
广东省江门市商品房预售许可证, 编号:蓬江预许字第2019051号, 江门市蓬江区棠下碧桂园房地产开发有限公司, 粤（江）房开证字第1260003号, 预售栋江门市蓬江区棠下镇滨江碧桂园3栋配建房屋面积：2400.58平方米，套数：21套；房号：401、701、801、1101、1301、2201、3301、1502、1602、1902、2102、2202、2502、2602、903、1503、1703、2103、2703、3003、3103, 滨江碧桂园, 江门市滨江新区华盛路与龙腾路交叉口东北角, 8892.47平方米78套, 粤（2017）江门市不动产权第0059441号；城镇住宅用地；其他商服用地, 8892.47平方米78套, , 0平方米0套, 江门市蓬江区棠下镇滨江碧桂园3栋:33层, 0平方米0套, 否, 0平方米0套, 广州银行股份有限公司江门分行(817000538802102), 0750-3167397, 江门市蓬江区住房和城乡建设局, 自2019年09月26日至2020年09月26日(过期无效), 2019年09月26日
广东省江门市商品房预售许可证, 编号:蓬江预许字第2019050号, 江门市双蓬房地产开发有限公司, 粤（江）房开证字第1260009号, , 江门蓬江棠下碧桂园一期8-12#楼、1#水泵房配电房、1#门岗、地下车库二项目, 江门市蓬江区棠下镇华盛路南侧、接龙路两侧地段, 9318.66平方米78套, 粤（2016）江门市不动产权第0005432号；商务金融用地（053）、城镇住宅用地（071）, 9318.66平方米78套, , 0平方米0套, 江门市蓬江区棠下镇华盛路265号滨江华园12栋:18层，江门市蓬江区棠下镇华盛路271号:1层, 0平方米0套, 否, 0平方米0套, 兴业银行股份有限公司江门分行(398000100100575392), 0750-3167397, 江门市蓬江区住房和城乡建设局, 自2019年09月26日至2020年09月26日(过期无效), 2019年09月26日
广东省江门市商品房预售许可证, 编号:蓬江预许字第2019048号, 江门市环市房地产开发公司群星分公司, 粤（江）房开证字第1261021号, , 星福·尚岭新筑花园三期, 江门市蓬江区群星村东华里北地段, 12714.41平方米122套, 粤（2016）江门市不动产权第0026786号；城镇住宅用地、其他商服用地, 12714.41平方米122套, , 0平方米0套, 江门市蓬江区星福尚岭新筑花园24幢、25幢:17层, 0平方米0套, 否, 0平方米0套, 江门农村商业银行股份有限公司东华支行(80020000013907572), 0750-3167397, 江门市蓬江区住房和城乡建设局, 自2019年09月25日至2020年09月25日(过期无效), 2019年09月25日
广东省江门市商品房预售许可证, 编号:蓬江预许字第2019049号, 江门健威房地产置业有限公司, 粤（江）房开证字第1261025号, , 健威广场, 蓬江区白石大道与天沙河交界西南则, 17549.02平方米176套, 江国用（2014）第101137号；城镇住宅用地，其他商服用地, 0平方米0套, , 0平方米0套, 蓬江区白石大道213号:19层层, 17549.02平方米176套, 否, 0平方米0套, 江门农村商业银行股份有限公司东华支行(80020000013880548), 0750-3167397, 江门市蓬江区住房和城乡建设局, 自2019年09月26日至2020年09月26日(过期无效), 2019年09月26日
广东省江门市商品房预售许可证, 编号:蓬江预许字第2019047号, 江门华强房地产开发有限公司, 粤（江）房开证字第1260010号, 预售栋江门市蓬江区棠下镇华强滨江府8栋配建房屋面积：1325.63平方米，套数8套；房号：2单元102、3单元201、2单元402、3单元501、3单元502、2单元601、2单元602、2单元702、, 华强滨江府, 江门市蓬江区华盛路与鹤鸣路交叉口西北侧, 5838.73平方米34套, 粤（2018）江门市不动产权第0045739号；城镇住宅用地；其他商服用地, 5838.73平方米34套, , 0平方米0套, 8:8层, 0平方米0套, 否, 0平方米0套, 恒生银行（中国）有限公司江门支行(731000774021), 0750-3167397, 江门市蓬江区住房和城乡建设局, 自2019年09月20日至2020年09月20日(过期无效), 2019年09月20日
广东省江门市商品房预售许可证, 编号:蓬江预许字第2019046号, 江门市双蓬房地产开发有限公司, 粤（江）房开证字第1260009号, , 江门蓬江棠下碧桂园一期8-12#楼、1#水泵房配电房、1#门岗、地下车库二项目, 江门市蓬江区棠下镇华盛路南侧、接龙路两侧地段, 9692.19平方米81套, 粤（2016）江门市不动产权第0005432号；商务金融用地（053）、城镇住宅用地（071）, 9692.19平方米81套, , 0平方米0套, 江门市蓬江区棠下镇华盛路265号滨江华园11栋:19层, 0平方米0套, 否, 0平方米0套, 兴业银行股份有限公司江门分行(398000100100575274), 0750-3167397, 江门市蓬江区住房和城乡建设局, 自2019年09月19日至2020年09月19日(过期无效), 2019年09月19日
广东省江门市商品房预售许可证, 编号:蓬江预许字第2019045号, 江门保利宏信房地产开发有限公司, 粤（江）房开证字第1261035号, 预售栋蓬江区棠下镇凤翔路68号保利悦公馆1栋配建房屋面积：1684.65平方米，套数：15套;房号：1801、2001、2301、2901、602、702、2502、304、903、1603、1704、1804、1904、2504、2704, 江门保利悦公馆, 江门市蓬江区凤翔路以东、鹤鸣路以西、陈垣路以南, 13080.46平方米115套, 粤（2018）江门市不动产第0046974号；其他商服用地、城镇住宅用地, 13080.46平方米115套, , 0平方米0套, 江门市蓬江区棠下镇凤翔路68号保利悦公馆3栋:32层, 0平方米0套, 否, 0平方米0套, 招商银行股份有限公司江门分行(750900018710202), 0750-3167397, 江门市蓬江区住房和城乡建设局, 自2019年09月06日至2020年09月06日(过期无效), 2019年09月06日
广东省江门市商品房预售许可证, 编号:蓬江预许字第2019044号, 江门市双蓬房地产开发有限公司, 粤（江）房开证字第1260009号, 02户型所有单元为补偿类商品房, 江门蓬江棠下碧桂园一期1-7#楼、13-14#楼、2#水泵房、2#配电房、2#门岗、地下车库一项目, 江门市蓬江区棠下镇华盛路南侧、接龙路两侧地段, 12045.05平方米93套, 粤（2016）江门市不动产权第0005433号；商务金融用地（053）、城镇住宅用地（071）, 12045.05平方米93套, , 0平方米0套, 江门市蓬江区棠下镇华盛路265号滨江华园2栋:21层, 0平方米0套, 否, 0平方米0套, 兴业银行股份有限公司江门分行(398000100100572512), 0750-3167397, 江门市蓬江区住房和城乡建设局, 自2019年08月29日至2020年08月29日(过期无效), 2019年08月29日
广东省江门市商品房预售许可证, 编号:蓬江预许字第2019043号, 江门市蓬江区棠下碧桂园房地产开发有限公司, 粤（江）房开证字第1260003号, 预售栋江门市蓬江区棠下镇滨江碧桂园5栋配建房屋面积：2420.39平方米，套数：13套；房号：1101、701、801、1301、3001、2901、2501、102、202、2902、702、2502、802, 滨江碧桂园, 江门市滨江新区华盛路与龙腾路交叉口东北角, 9309.56平方米49套, 粤（2017）江门市不动产权第0059441号；城镇住宅用地；其他商服用地, 9309.56平方米49套, , 0平方米0套, 江门市蓬江区棠下镇滨江碧桂园5栋:31层, 0平方米0套, 否, 0平方米0套, 广州银行股份有限公司江门分行(817000538802078), 0750-3167397, 江门市蓬江区住房和城乡建设局, 自2019年08月28日至2020年08月28日(过期无效), 2019年08月28日
广东省江门市商品房预售许可证, 编号:蓬江预许字第2019042号, 江门市双蓬房地产开发有限公司, 粤（江）房开证字第1260009号, , 江门蓬江棠下碧桂园一期1-7#楼、13-14#楼、2#水泵房、2#配电房、2#门岗、地下车库一项目, 江门市蓬江区棠下镇华盛路南侧、接龙路两侧地段, 10496.99平方米89套, 粤（2016）江门市不动产权第0005433号；商务金融用地（053）、城镇住宅用地（071）, 10367.21平方米87套, , 129.78平方米2套, 江门市蓬江区棠下镇华盛路265号滨江华园1栋、华盛路267号:20层, 0平方米0套, 否, 0平方米0套, 兴业银行股份有限公司江门分行(398000100100572382), 0750-3167397, 江门市蓬江区住房和城乡建设局, 自2019年08月23日至2020年08月23日(过期无效), 2019年08月23日
